title,difficulty_short,difficulty,level,notes
ALBA -黎明-,SPB,1,-1,-1
ALBA -黎明-,SPN,2,5,330
ALBA -黎明-,SPH,3,8,787
ALBA -黎明-,SPA,4,11,1631
ALBA -黎明-,SPL,5,-1,-1
Ancient Scapes,SPB,1,-1,-1
Ancient Scapes,SPN,2,6,602
Ancient Scapes,SPH,3,10,1073
Ancient Scapes,SPA,4,12,1780
Ancient Scapes,SPL,5,12,2198
ATHER,SPB,1,-1,-1
ATHER,SPN,2,5,514
ATHER,SPH,3,8,833
ATHER,SPA,4,11,1440
ATHER,SPL,5,-1,-1
BLUE DRAGON(雷龍RemixIIDX),SPB,1,-1,-1
BLUE DRAGON(雷龍RemixIIDX),SPN,2,7,769
BLUE DRAGON(雷龍RemixIIDX),SPH,3,10,1159
BLUE DRAGON(雷龍RemixIIDX),SPA,4,12,1727
BLUE DRAGON(雷龍RemixIIDX),SPL,5,-1,-1
BRAINSTORM,SPB,1,-1,-1
BRAINSTORM,SPN,2,4,386
BRAINSTORM,SPH,3,10,1032
BRAINSTORM,SPA,4,11,1449
BRAINSTORM,SPL,5,-1,-1
BRAVE OUT,SPB,1,-1,-1
BRAVE OUT,SPN,2,5,528
BRAVE OUT,SPH,3,8,773
BRAVE OUT,SPA,4,10,1091
BRAVE OUT,SPL,5,-1,-1
Claiomh Solais,SPB,1,-1,-1
Claiomh Solais,SPN,2,2,173
Claiomh Solais,SPH,3,6,723
Claiomh Solais,SPA,4,9,1052
Claiomh Solais,SPL,5,-1,-1
Cleopatrysm,SPB,1,-1,-1
Cleopatrysm,SPN,2,4,416
Cleopatrysm,SPH,3,8,753
Cleopatrysm,SPA,4,11,1326
Cleopatrysm,SPL,5,-1,-1
Close the World feat.a☆ru,SPB,1,-1,-1
Close the World feat.a☆ru,SPN,2,5,578
Close the World feat.a☆ru,SPH,3,10,1075
Close the World feat.a☆ru,SPA,4,12,1739
Close the World feat.a☆ru,SPL,5,12,1983
Critical Crystal,SPB,1,1,112
Critical Crystal,SPN,2,6,565
Critical Crystal,SPH,3,8,946
Critical Crystal,SPA,4,11,1495
Critical Crystal,SPL,5,-1,-1
Dark Fall,SPB,1,-1,-1
Dark Fall,SPN,2,5,450
Dark Fall,SPH,3,8,844
Dark Fall,SPA,4,11,1416
Dark Fall,SPL,5,-1,-1
DARK LEGACY,SPB,1,-1,-1
DARK LEGACY,SPN,2,6,675
DARK LEGACY,SPH,3,9,1077
DARK LEGACY,SPA,4,12,1828
DARK LEGACY,SPL,5,-1,-1
Devilz Sacrifice -贖罪の羊-,SPB,1,-1,-1
Devilz Sacrifice -贖罪の羊-,SPN,2,5,489
Devilz Sacrifice -贖罪の羊-,SPH,3,9,927
Devilz Sacrifice -贖罪の羊-,SPA,4,11,1265
Devilz Sacrifice -贖罪の羊-,SPL,5,-1,-1
diagram,SPB,1,-1,-1
diagram,SPN,2,3,318
diagram,SPH,3,7,660
diagram,SPA,4,11,1461
diagram,SPL,5,-1,-1
Elektrick U-Phoria,SPB,1,-1,-1
Elektrick U-Phoria,SPN,2,6,593
Elektrick U-Phoria,SPH,3,9,1004
Elektrick U-Phoria,SPA,4,11,1566
Elektrick U-Phoria,SPL,5,-1,-1
Element of SPADA,SPB,1,-1,-1
Element of SPADA,SPN,2,3,355
Element of SPADA,SPH,3,7,686
Element of SPADA,SPA,4,9,1047
Element of SPADA,SPL,5,-1,-1
Engraved Mark,SPB,1,-1,-1
Engraved Mark,SPN,2,4,413
Engraved Mark,SPH,3,8,700
Engraved Mark,SPA,4,11,1222
Engraved Mark,SPL,5,-1,-1
EXTREME MACH COLLIDER,SPB,1,-1,-1
EXTREME MACH COLLIDER,SPN,2,5,527
EXTREME MACH COLLIDER,SPH,3,8,763
EXTREME MACH COLLIDER,SPA,4,11,1305
EXTREME MACH COLLIDER,SPL,5,-1,-1
Feel The Beat,SPB,1,-1,-1
Feel The Beat,SPN,2,7,689
Feel The Beat,SPH,3,10,1129
Feel The Beat,SPA,4,12,1830
Feel The Beat,SPL,5,12,2225
Funny shuffle,SPB,1,-1,-1
Funny shuffle,SPN,2,3,309
Funny shuffle,SPH,3,6,590
Funny shuffle,SPA,4,11,1199
Funny shuffle,SPL,5,-1,-1
HYENA,SPB,1,-1,-1
HYENA,SPN,2,6,608
HYENA,SPH,3,9,1026
HYENA,SPA,4,11,1434
HYENA,SPL,5,-1,-1
Hypersonik,SPB,1,-1,-1
Hypersonik,SPN,2,5,521
Hypersonik,SPH,3,8,878
Hypersonik,SPA,4,10,1272
Hypersonik,SPL,5,-1,-1
I will be back -オレは帰ってきた-,SPB,1,-1,-1
I will be back -オレは帰ってきた-,SPN,2,6,516
I will be back -オレは帰ってきた-,SPH,3,9,1012
I will be back -オレは帰ってきた-,SPA,4,11,1492
I will be back -オレは帰ってきた-,SPL,5,-1,-1
Idola ,SPB,1,-1,-1
Idola ,SPN,2,6,621
Idola ,SPH,3,10,1181
Idola ,SPA,4,12,1826
Idola ,SPL,5,-1,-1
Insane Techniques,SPB,1,-1,-1
Insane Techniques,SPN,2,4,378
Insane Techniques,SPH,3,7,672
Insane Techniques,SPA,4,11,1263
Insane Techniques,SPL,5,-1,-1
INSOMNIA,SPB,1,-1,-1
INSOMNIA,SPN,2,4,407
INSOMNIA,SPH,3,8,938
INSOMNIA,SPA,4,12,1661
INSOMNIA,SPL,5,-1,-1
into the battlefield,SPB,1,-1,-1
into the battlefield,SPN,2,4,374
into the battlefield,SPH,3,8,734
into the battlefield,SPA,4,10,1193
into the battlefield,SPL,5,-1,-1
invoker,SPB,1,-1,-1
invoker,SPN,2,5,569
invoker,SPH,3,9,1009
invoker,SPA,4,12,1624
invoker,SPL,5,12,1851
IX,SPB,1,-1,-1
IX,SPN,2,6,658
IX,SPH,3,11,1247
IX,SPA,4,12,2007
IX,SPL,5,-1,-1
KAISER PHOENIX,SPB,1,-1,-1
KAISER PHOENIX,SPN,2,7,679
KAISER PHOENIX,SPH,3,10,1194
KAISER PHOENIX,SPA,4,12,1693
KAISER PHOENIX,SPL,5,12,2026
KHAMEN BREAK,SPB,1,-1,-1
KHAMEN BREAK,SPN,2,3,298
KHAMEN BREAK,SPH,3,7,723
KHAMEN BREAK,SPA,4,11,1281
KHAMEN BREAK,SPL,5,-1,-1
Last Dance,SPB,1,-1,-1
Last Dance,SPN,2,6,615
Last Dance,SPH,3,10,1040
Last Dance,SPA,4,12,1650
Last Dance,SPL,5,-1,-1
Lighting Shower,SPB,1,-1,-1
Lighting Shower,SPN,2,4,418
Lighting Shower,SPH,3,7,694
Lighting Shower,SPA,4,11,1220
Lighting Shower,SPL,5,-1,-1
M.D.Injection,SPB,1,-1,-1
M.D.Injection,SPN,2,3,301
M.D.Injection,SPH,3,6,626
M.D.Injection,SPA,4,10,1231
M.D.Injection,SPL,5,-1,-1
m1dy Deluxe,SPB,1,-1,-1
m1dy Deluxe,SPN,2,6,598
m1dy Deluxe,SPH,3,9,951
m1dy Deluxe,SPA,4,11,1342
m1dy Deluxe,SPL,5,-1,-1
MAD ATTACK,SPB,1,-1,-1
MAD ATTACK,SPN,2,3,348
MAD ATTACK,SPH,3,6,683
MAD ATTACK,SPA,4,9,991
MAD ATTACK,SPL,5,-1,-1
MAGIC & LOVE,SPB,1,-1,-1
MAGIC & LOVE,SPN,2,5,517
MAGIC & LOVE,SPH,3,9,942
MAGIC & LOVE,SPA,4,11,1481
MAGIC & LOVE,SPL,5,-1,-1
Miracle 5ympho X,SPB,1,-1,-1
Miracle 5ympho X,SPN,2,5,390
Miracle 5ympho X,SPH,3,8,674
Miracle 5ympho X,SPA,4,10,1325
Miracle 5ympho X,SPL,5,-1,-1
NPC World,SPB,1,-1,-1
NPC World,SPN,2,5,522
NPC World,SPH,3,8,826
NPC World,SPA,4,10,1155
NPC World,SPL,5,-1,-1
Odin,SPB,1,-1,-1
Odin,SPN,2,4,408
Odin,SPH,3,7,721
Odin,SPA,4,10,1039
Odin,SPL,5,-1,-1
Overload Frontier,SPB,1,-1,-1
Overload Frontier,SPN,2,5,404
Overload Frontier,SPH,3,8,954
Overload Frontier,SPA,4,11,1336
Overload Frontier,SPL,5,-1,-1
Pharaoh,SPB,1,-1,-1
Pharaoh,SPN,2,3,331
Pharaoh,SPH,3,8,727
Pharaoh,SPA,4,11,1242
Pharaoh,SPL,5,-1,-1
PUNISHER,SPB,1,-1,-1
PUNISHER,SPN,2,5,583
PUNISHER,SPH,3,9,1081
PUNISHER,SPA,4,12,1812
PUNISHER,SPL,5,-1,-1
ra'am,SPB,1,-1,-1
ra'am,SPN,2,8,653
ra'am,SPH,3,10,1003
ra'am,SPA,4,12,1461
ra'am,SPL,5,-1,-1
rainbow guitar weeps,SPB,1,-1,-1
rainbow guitar weeps,SPN,2,5,492
rainbow guitar weeps,SPH,3,9,951
rainbow guitar weeps,SPA,4,11,1406
rainbow guitar weeps,SPL,5,-1,-1
Recollection,SPB,1,-1,-1
Recollection,SPN,2,5,597
Recollection,SPH,3,7,883
Recollection,SPA,4,9,1118
Recollection,SPL,5,-1,-1
refractive index,SPB,1,-1,-1
refractive index,SPN,2,3,374
refractive index,SPH,3,7,731
refractive index,SPA,4,11,1360
refractive index,SPL,5,-1,-1
RISE,SPB,1,-1,-1
RISE,SPN,2,5,480
RISE,SPH,3,8,701
RISE,SPA,4,10,951
RISE,SPL,5,-1,-1
RIZING YOU UP,SPB,1,-1,-1
RIZING YOU UP,SPN,2,6,537
RIZING YOU UP,SPH,3,9,1080
RIZING YOU UP,SPA,4,10,1295
RIZING YOU UP,SPL,5,-1,-1
SCHWARZSCHILD FIELD,SPB,1,-1,-1
SCHWARZSCHILD FIELD,SPN,2,6,472
SCHWARZSCHILD FIELD,SPH,3,9,840
SCHWARZSCHILD FIELD,SPA,4,11,1232
SCHWARZSCHILD FIELD,SPL,5,-1,-1
Sigmund,SPB,1,-1,-1
Sigmund,SPN,2,7,806
Sigmund,SPH,3,10,1228
Sigmund,SPA,4,12,2029
Sigmund,SPL,5,12,2267
Squeeze,SPB,1,-1,-1
Squeeze,SPN,2,5,432
Squeeze,SPH,3,8,745
Squeeze,SPA,4,11,1257
Squeeze,SPL,5,-1,-1
THE DETONATOR,SPB,1,-1,-1
THE DETONATOR,SPN,2,7,836
THE DETONATOR,SPH,3,10,1284
THE DETONATOR,SPA,4,11,1636
THE DETONATOR,SPL,5,-1,-1
Unicorn tail,SPB,1,-1,-1
Unicorn tail,SPN,2,5,438
Unicorn tail,SPH,3,9,1046
Unicorn tail,SPA,4,11,1605
Unicorn tail,SPL,5,-1,-1
Valgus,SPB,1,-1,-1
Valgus,SPN,2,4,330
Valgus,SPH,3,7,685
Valgus,SPA,4,11,1206
Valgus,SPL,5,-1,-1
Verflucht,SPB,1,-1,-1
Verflucht,SPN,2,6,647
Verflucht,SPH,3,10,1081
Verflucht,SPA,4,12,1805
Verflucht,SPL,5,12,2401
VOX UP,SPB,1,-1,-1
VOX UP,SPN,2,8,754
VOX UP,SPH,3,11,1473
VOX UP,SPA,4,12,1870
VOX UP,SPL,5,-1,-1
Wonder Girl feat. Kanae Asaba,SPB,1,-1,-1
Wonder Girl feat. Kanae Asaba,SPN,2,4,365
Wonder Girl feat. Kanae Asaba,SPH,3,6,647
Wonder Girl feat. Kanae Asaba,SPA,4,11,1414
Wonder Girl feat. Kanae Asaba,SPL,5,-1,-1
アルストロメリア,SPB,1,1,109
アルストロメリア,SPN,2,5,495
アルストロメリア,SPH,3,8,804
アルストロメリア,SPA,4,10,1254
アルストロメリア,SPL,5,-1,-1
お願いアインシュタイン,SPB,1,-1,-1
お願いアインシュタイン,SPN,2,5,457
お願いアインシュタイン,SPH,3,8,753
お願いアインシュタイン,SPA,4,10,1066
お願いアインシュタイン,SPL,5,-1,-1
デッドボヲルdeホームラン,SPB,1,-1,-1
デッドボヲルdeホームラン,SPN,2,3,318
デッドボヲルdeホームラン,SPH,3,9,846
デッドボヲルdeホームラン,SPA,4,11,1417
デッドボヲルdeホームラン,SPL,5,-1,-1
バンブーソード・ガール,SPB,1,1,135
バンブーソード・ガール,SPN,2,5,512
バンブーソード・ガール,SPH,3,9,960
バンブーソード・ガール,SPA,4,11,1261
バンブーソード・ガール,SPL,5,-1,-1
海神,SPB,1,-1,-1
海神,SPN,2,7,585
海神,SPH,3,10,1084
海神,SPA,4,12,1629
海神,SPL,5,-1,-1
幻想系世界修復少女,SPB,1,1,107
幻想系世界修復少女,SPN,2,4,318
幻想系世界修復少女,SPH,3,7,592
幻想系世界修復少女,SPA,4,10,1010
幻想系世界修復少女,SPL,5,-1,-1
轟け！恋のビーンボール！！,SPB,1,-1,-1
轟け！恋のビーンボール！！,SPN,2,6,541
轟け！恋のビーンボール！！,SPH,3,10,1012
轟け！恋のビーンボール！！,SPA,4,12,1834
轟け！恋のビーンボール！！,SPL,5,-1,-1
罪と罰,SPB,1,-1,-1
罪と罰,SPN,2,5,555
罪と罰,SPH,3,7,711
罪と罰,SPA,4,10,1096
罪と罰,SPL,5,-1,-1
疾風迅雷,SPB,1,-1,-1
疾風迅雷,SPN,2,6,592
疾風迅雷,SPH,3,10,1078
疾風迅雷,SPA,4,12,1493
疾風迅雷,SPL,5,12,1824
旋律のドグマ～Miserables～,SPB,1,-1,-1
旋律のドグマ～Miserables～,SPN,2,6,629
旋律のドグマ～Miserables～,SPH,3,10,1271
旋律のドグマ～Miserables～,SPA,4,12,2002
旋律のドグマ～Miserables～,SPL,5,-1,-1
超!!遠距離らぶメ～ル,SPB,1,-1,-1
超!!遠距離らぶメ～ル,SPN,2,3,292
超!!遠距離らぶメ～ル,SPH,3,7,790
超!!遠距離らぶメ～ル,SPA,4,10,1352
超!!遠距離らぶメ～ル,SPL,5,-1,-1
廿,SPB,1,-1,-1
廿,SPN,2,5,485
廿,SPH,3,8,890
廿,SPA,4,10,1215
廿,SPL,5,12,1731
牧神笛吹きて,SPB,1,-1,-1
牧神笛吹きて,SPN,2,4,377
牧神笛吹きて,SPH,3,8,721
牧神笛吹きて,SPA,4,11,1044
牧神笛吹きて,SPL,5,-1,-1
煉獄のエルフェリア,SPB,1,-1,-1
煉獄のエルフェリア,SPN,2,7,698
煉獄のエルフェリア,SPH,3,10,1222
煉獄のエルフェリア,SPA,4,12,2000
煉獄のエルフェリア,SPL,5,-1,-1
#The_Relentless,SPB,1,-1,-1
#The_Relentless,SPN,2,6,611
#The_Relentless,SPH,3,9,1028
#The_Relentless,SPA,4,11,1479
#The_Relentless,SPL,5,-1,-1
AFRO KNUCKLE,SPB,1,-1,-1
AFRO KNUCKLE,SPN,2,5,496
AFRO KNUCKLE,SPH,3,8,917
AFRO KNUCKLE,SPA,4,11,1226
AFRO KNUCKLE,SPL,5,-1,-1
Beat Radiance,SPB,1,-1,-1
Beat Radiance,SPN,2,5,505
Beat Radiance,SPH,3,8,826
Beat Radiance,SPA,4,10,1335
Beat Radiance,SPL,5,12,1809
Beyond The Earth,SPB,1,-1,-1
Beyond The Earth,SPN,2,5,668
Beyond The Earth,SPH,3,10,1102
Beyond The Earth,SPA,4,11,1646
Beyond The Earth,SPL,5,-1,-1
Blaze it UP!,SPB,1,-1,-1
Blaze it UP!,SPN,2,5,493
Blaze it UP!,SPH,3,8,964
Blaze it UP!,SPA,4,11,1501
Blaze it UP!,SPL,5,-1,-1
BLUE MIRAGE,SPB,1,-1,-1
BLUE MIRAGE,SPN,2,5,596
BLUE MIRAGE,SPH,3,10,1091
BLUE MIRAGE,SPA,4,12,1606
BLUE MIRAGE,SPL,5,-1,-1
Broken Sword,SPB,1,-1,-1
Broken Sword,SPN,2,7,658
Broken Sword,SPH,3,10,1054
Broken Sword,SPA,4,12,1887
Broken Sword,SPL,5,-1,-1
Chain of pain,SPB,1,-1,-1
Chain of pain,SPN,2,4,396
Chain of pain,SPH,3,8,789
Chain of pain,SPA,4,10,1130
Chain of pain,SPL,5,-1,-1
chrono diver -fragment-,SPB,1,-1,-1
chrono diver -fragment-,SPN,2,3,347
chrono diver -fragment-,SPH,3,6,590
chrono diver -fragment-,SPA,4,9,900
chrono diver -fragment-,SPL,5,10,1134
CHRONO DIVER -NORNIR-,SPB,1,-1,-1
CHRONO DIVER -NORNIR-,SPN,2,5,592
CHRONO DIVER -NORNIR-,SPH,3,9,1124
CHRONO DIVER -NORNIR-,SPA,4,11,1568
CHRONO DIVER -NORNIR-,SPL,5,12,2233
Chrono Diver -PENDULUMs-,SPB,1,3,281
Chrono Diver -PENDULUMs-,SPN,2,7,722
Chrono Diver -PENDULUMs-,SPH,3,11,1422
Chrono Diver -PENDULUMs-,SPA,4,12,2222
Chrono Diver -PENDULUMs-,SPL,5,-1,-1
Chronos,SPB,1,-1,-1
Chronos,SPN,2,5,443
Chronos,SPH,3,8,717
Chronos,SPA,4,11,1205
Chronos,SPL,5,-1,-1
cinder,SPB,1,-1,-1
cinder,SPN,2,5,432
cinder,SPH,3,9,1037
cinder,SPA,4,12,1601
cinder,SPL,5,-1,-1
COLOSSEUM ,SPB,1,-1,-1
COLOSSEUM ,SPN,2,4,295
COLOSSEUM ,SPH,3,7,627
COLOSSEUM ,SPA,4,11,1159
COLOSSEUM ,SPL,5,-1,-1
Cosmic Cat,SPB,1,-1,-1
Cosmic Cat,SPN,2,6,476
Cosmic Cat,SPH,3,9,892
Cosmic Cat,SPA,4,11,1166
Cosmic Cat,SPL,5,12,1651
Despair of ELFERIA,SPB,1,-1,-1
Despair of ELFERIA,SPN,2,7,642
Despair of ELFERIA,SPH,3,10,1248
Despair of ELFERIA,SPA,4,12,2096
Despair of ELFERIA,SPL,5,-1,-1
Discloze,SPB,1,-1,-1
Discloze,SPN,2,6,498
Discloze,SPH,3,9,872
Discloze,SPA,4,11,1365
Discloze,SPL,5,-1,-1
EBONY & IVORY,SPB,1,-1,-1
EBONY & IVORY,SPN,2,6,557
EBONY & IVORY,SPH,3,9,890
EBONY & IVORY,SPA,4,12,1520
EBONY & IVORY,SPL,5,12,1887
entelecheia,SPB,1,-1,-1
entelecheia,SPN,2,6,528
entelecheia,SPH,3,10,1106
entelecheia,SPA,4,12,1657
entelecheia,SPL,5,-1,-1
Erosion Mark  ,SPB,1,-1,-1
Erosion Mark  ,SPN,2,4,407
Erosion Mark  ,SPH,3,8,788
Erosion Mark  ,SPA,4,11,1096
Erosion Mark  ,SPL,5,-1,-1
fallen leaves -IIDX edition-,SPB,1,-1,-1
fallen leaves -IIDX edition-,SPN,2,6,603
fallen leaves -IIDX edition-,SPH,3,10,1085
fallen leaves -IIDX edition-,SPA,4,12,1745
fallen leaves -IIDX edition-,SPL,5,-1,-1
FANTASTIC THREE,SPB,1,-1,-1
FANTASTIC THREE,SPN,2,7,698
FANTASTIC THREE,SPH,3,10,1166
FANTASTIC THREE,SPA,4,12,1649
FANTASTIC THREE,SPL,5,-1,-1
Flashes,SPB,1,-1,-1
Flashes,SPN,2,6,489
Flashes,SPH,3,9,931
Flashes,SPA,4,12,1691
Flashes,SPL,5,-1,-1
Gravigazer,SPB,1,-1,-1
Gravigazer,SPN,2,5,495
Gravigazer,SPH,3,10,966
Gravigazer,SPA,4,12,1533
Gravigazer,SPL,5,-1,-1
HELL SCAPER -Last Escape Remix-,SPB,1,-1,-1
HELL SCAPER -Last Escape Remix-,SPN,2,5,494
HELL SCAPER -Last Escape Remix-,SPH,3,8,911
HELL SCAPER -Last Escape Remix-,SPA,4,11,1458
HELL SCAPER -Last Escape Remix-,SPL,5,-1,-1
Hello Happiness,SPB,1,-1,-1
Hello Happiness,SPN,2,5,461
Hello Happiness,SPH,3,9,871
Hello Happiness,SPA,4,11,1198
Hello Happiness,SPL,5,-1,-1
illuminate,SPB,1,-1,-1
illuminate,SPN,2,3,316
illuminate,SPH,3,8,817
illuminate,SPA,4,10,1172
illuminate,SPL,5,-1,-1
IMPLANTATION,SPB,1,-1,-1
IMPLANTATION,SPN,2,5,335
IMPLANTATION,SPH,3,10,885
IMPLANTATION,SPA,4,12,1163
IMPLANTATION,SPL,5,-1,-1
In The Breeze,SPB,1,-1,-1
In The Breeze,SPN,2,4,336
In The Breeze,SPH,3,7,601
In The Breeze,SPA,4,9,896
In The Breeze,SPL,5,-1,-1
Invitation from Mr.C,SPB,1,-1,-1
Invitation from Mr.C,SPN,2,6,594
Invitation from Mr.C,SPH,3,9,810
Invitation from Mr.C,SPA,4,12,1405
Invitation from Mr.C,SPL,5,-1,-1
IXION,SPB,1,-1,-1
IXION,SPN,2,5,569
IXION,SPH,3,8,913
IXION,SPA,4,9,1086
IXION,SPL,5,-1,-1
Line 4 Ruin,SPB,1,-1,-1
Line 4 Ruin,SPN,2,4,363
Line 4 Ruin,SPH,3,9,913
Line 4 Ruin,SPA,4,11,1402
Line 4 Ruin,SPL,5,-1,-1
Monopole.,SPB,1,-1,-1
Monopole.,SPN,2,4,403
Monopole.,SPH,3,8,867
Monopole.,SPA,4,12,1729
Monopole.,SPL,5,-1,-1
NEO GENERATOR SEVEN,SPB,1,-1,-1
NEO GENERATOR SEVEN,SPN,2,5,469
NEO GENERATOR SEVEN,SPH,3,9,974
NEO GENERATOR SEVEN,SPA,4,12,1690
NEO GENERATOR SEVEN,SPL,5,-1,-1
Night sky,SPB,1,-1,-1
Night sky,SPN,2,6,599
Night sky,SPH,3,9,972
Night sky,SPA,4,11,1491
Night sky,SPL,5,-1,-1
No Tears,SPB,1,-1,-1
No Tears,SPN,2,6,609
No Tears,SPH,3,9,1082
No Tears,SPA,4,11,1286
No Tears,SPL,5,-1,-1
On My Wings(Hardstyle IIDX),SPB,1,-1,-1
On My Wings(Hardstyle IIDX),SPN,2,5,463
On My Wings(Hardstyle IIDX),SPH,3,7,644
On My Wings(Hardstyle IIDX),SPA,4,10,999
On My Wings(Hardstyle IIDX),SPL,5,-1,-1
PENDUAL TALISMAN,SPB,1,-1,-1
PENDUAL TALISMAN,SPN,2,5,524
PENDUAL TALISMAN,SPH,3,8,820
PENDUAL TALISMAN,SPA,4,11,1314
PENDUAL TALISMAN,SPL,5,-1,-1
Rave*it!! Rave*it!! ,SPB,1,-1,-1
Rave*it!! Rave*it!! ,SPN,2,6,517
Rave*it!! Rave*it!! ,SPH,3,9,863
Rave*it!! Rave*it!! ,SPA,4,12,1656
Rave*it!! Rave*it!! ,SPL,5,-1,-1
Realize Maze,SPB,1,-1,-1
Realize Maze,SPN,2,6,642
Realize Maze,SPH,3,9,1054
Realize Maze,SPA,4,11,1503
Realize Maze,SPL,5,-1,-1
Reflux,SPB,1,-1,-1
Reflux,SPN,2,5,402
Reflux,SPH,3,9,822
Reflux,SPA,4,12,1574
Reflux,SPL,5,-1,-1
Sakura Mirage,SPB,1,-1,-1
Sakura Mirage,SPN,2,6,520
Sakura Mirage,SPH,3,8,710
Sakura Mirage,SPA,4,11,1190
Sakura Mirage,SPL,5,-1,-1
SAMSARA,SPB,1,-1,-1
SAMSARA,SPN,2,4,432
SAMSARA,SPH,3,7,731
SAMSARA,SPA,4,10,1031
SAMSARA,SPL,5,-1,-1
Say YEEEAHH,SPB,1,-1,-1
Say YEEEAHH,SPN,2,6,610
Say YEEEAHH,SPH,3,9,952
Say YEEEAHH,SPA,4,12,1677
Say YEEEAHH,SPL,5,-1,-1
Scarlet Moon,SPB,1,-1,-1
Scarlet Moon,SPN,2,6,542
Scarlet Moon,SPH,3,9,998
Scarlet Moon,SPA,4,11,1389
Scarlet Moon,SPL,5,-1,-1
Scars of FAUNA,SPB,1,-1,-1
Scars of FAUNA,SPN,2,5,435
Scars of FAUNA,SPH,3,8,871
Scars of FAUNA,SPA,4,11,1475
Scars of FAUNA,SPL,5,-1,-1
Shooting Fireball,SPB,1,-1,-1
Shooting Fireball,SPN,2,6,486
Shooting Fireball,SPH,3,10,1181
Shooting Fireball,SPA,4,12,1983
Shooting Fireball,SPL,5,-1,-1
Sounds Of Summer ,SPB,1,-1,-1
Sounds Of Summer ,SPN,2,6,640
Sounds Of Summer ,SPH,3,10,1080
Sounds Of Summer ,SPA,4,12,1513
Sounds Of Summer ,SPL,5,-1,-1
SpaceLand☆TOYBOX,SPB,1,-1,-1
SpaceLand☆TOYBOX,SPN,2,6,552
SpaceLand☆TOYBOX,SPH,3,9,900
SpaceLand☆TOYBOX,SPA,4,12,1501
SpaceLand☆TOYBOX,SPL,5,-1,-1
Sweet Radar,SPB,1,-1,-1
Sweet Radar,SPN,2,4,338
Sweet Radar,SPH,3,7,689
Sweet Radar,SPA,4,10,1020
Sweet Radar,SPL,5,-1,-1
Symmetry,SPB,1,-1,-1
Symmetry,SPN,2,6,586
Symmetry,SPH,3,10,1082
Symmetry,SPA,4,12,1659
Symmetry,SPL,5,-1,-1
TA・DA ☆ YO・SHI,SPB,1,-1,-1
TA・DA ☆ YO・SHI,SPN,2,5,579
TA・DA ☆ YO・SHI,SPH,3,8,849
TA・DA ☆ YO・SHI,SPA,4,10,1180
TA・DA ☆ YO・SHI,SPL,5,-1,-1
The Least 100sec,SPB,1,-1,-1
The Least 100sec,SPN,2,5,414
The Least 100sec,SPH,3,9,762
The Least 100sec,SPA,4,12,1505
The Least 100sec,SPL,5,-1,-1
TIEFSEE,SPB,1,-1,-1
TIEFSEE,SPN,2,6,653
TIEFSEE,SPH,3,9,1096
TIEFSEE,SPA,4,12,1752
TIEFSEE,SPL,5,-1,-1
TOXIC VIBRATION,SPB,1,-1,-1
TOXIC VIBRATION,SPN,2,7,831
TOXIC VIBRATION,SPH,3,10,1248
TOXIC VIBRATION,SPA,4,12,1933
TOXIC VIBRATION,SPL,5,-1,-1
Vulkan,SPB,1,-1,-1
Vulkan,SPN,2,5,527
Vulkan,SPH,3,9,1030
Vulkan,SPA,4,11,1518
Vulkan,SPL,5,-1,-1
We're so Happy (P*Light Remix) IIDX ver.,SPB,1,-1,-1
We're so Happy (P*Light Remix) IIDX ver.,SPN,2,6,600
We're so Happy (P*Light Remix) IIDX ver.,SPH,3,10,1187
We're so Happy (P*Light Remix) IIDX ver.,SPA,4,12,1896
We're so Happy (P*Light Remix) IIDX ver.,SPL,5,-1,-1
Ｘ↑Ｘ↓,SPB,1,-1,-1
Ｘ↑Ｘ↓,SPN,2,5,477
Ｘ↑Ｘ↓,SPH,3,8,907
Ｘ↑Ｘ↓,SPA,4,11,1485
Ｘ↑Ｘ↓,SPL,5,-1,-1
ZZ,SPB,1,1,102
ZZ,SPN,2,6,667
ZZ,SPH,3,10,1042
ZZ,SPA,4,12,1541
ZZ,SPL,5,-1,-1
それは花火のような恋,SPB,1,3,354
それは花火のような恋,SPN,2,6,649
それは花火のような恋,SPH,3,10,1321
それは花火のような恋,SPA,4,12,1976
それは花火のような恋,SPL,5,-1,-1
ドッキン☆サマーあばんちゅーる,SPB,1,-1,-1
ドッキン☆サマーあばんちゅーる,SPN,2,5,531
ドッキン☆サマーあばんちゅーる,SPH,3,8,907
ドッキン☆サマーあばんちゅーる,SPA,4,11,1447
ドッキン☆サマーあばんちゅーる,SPL,5,-1,-1
とろぴかる倶楽部,SPB,1,-1,-1
とろぴかる倶楽部,SPN,2,5,432
とろぴかる倶楽部,SPH,3,8,755
とろぴかる倶楽部,SPA,4,11,1154
とろぴかる倶楽部,SPL,5,-1,-1
パ→ピ→プ→Yeah!,SPB,1,2,190
パ→ピ→プ→Yeah!,SPN,2,6,527
パ→ピ→プ→Yeah!,SPH,3,9,814
パ→ピ→プ→Yeah!,SPA,4,11,1280
パ→ピ→プ→Yeah!,SPL,5,-1,-1
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,SPB,1,-1,-1
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,SPN,2,5,453
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,SPH,3,7,756
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,SPA,4,11,1285
